MKT,Comissão,Frete,,,Produto,Margem,Preço de venda,Preço real/Promo,Dif. Preço,Margem real,MKT,Comissão,Frete + custo fixo,Custo,lucro
SHOPEE,"20,00%","R$ 6,00",,,Kit 3 alça larga - GG,"15,00%","R$ 52,50","R$ 48,90","-R$ 3,60","10,58%",SHEIN,"20,00%","R$ 6,00","R$ 25,50","R$ 5,18"
ML,"19,00%","R$ 8,50",,,Kit 3 alça larga - G,"15,00%","R$ 47,50","R$ 46,90","-R$ 0,60","14,23%",SHEIN,"20,00%","R$ 6,00","R$ 22,50","R$ 6,68"
SHEIN,"20,00%","R$ 6,00",,,Kit 3 alça larga - M,"15,00%","R$ 47,50","R$ 44,90","-R$ 2,60","11,53%",SHEIN,"20,00%","R$ 6,00","R$ 22,50","R$ 5,18"
ML - Cla,"14,00%","R$ 8,50",,,Kit 3 alça larga - P,"15,00%","R$ 47,50","R$ 43,90","-R$ 3,60","10,08%",SHEIN,"20,00%","R$ 6,00","R$ 22,50","R$ 4,43"
,,,,,Alça Larga Uni GG,"15,00%","R$ 24,17","R$ 22,90","-R$ 1,27","11,68%",SHEIN,"20,00%","R$ 6,00","R$ 8,50","R$ 2,68"
,,,,,Alça Larga Uni PMG,"15,00%","R$ 22,50","R$ 20,90","-R$ 1,60","10,41%",SHEIN,"20,00%","R$ 6,00","R$ 7,50","R$ 2,18"
,Margem media,,,,Kit 3 Tactel - P-GG,"15,00%","R$ 72,50","R$ 67,90","-R$ 4,60","10,94%",SHEIN,"20,00%","R$ 6,00","R$ 37,50","R$ 7,43"
,"11,49%",,,,Kit 3 Tactel - Plus,"15,00%","R$ 75,00","R$ 70,90","-R$ 4,10","11,53%",SHEIN,"20,00%","R$ 6,00","R$ 39,00","R$ 8,18"
,,,,,Kit 2 Tactel - P-GG,"15,00%","R$ 51,67","R$ 45,30","-R$ 6,37","6,57%",SHEIN,"20,00%","R$ 6,00","R$ 25,00","R$ 2,97"
,,,,,Kit 2 Tactel - Plus,"15,00%","R$ 53,33","R$ 50,20","-R$ 3,13","11,25%",SHEIN,"20,00%","R$ 6,00","R$ 26,00","R$ 5,65"
,,,,,Kit 3 Bojo,"15,00%","R$ 52,50","R$ 49,90","-R$ 2,60","11,87%",SHEIN,"20,00%","R$ 6,00","R$ 25,50","R$ 5,93"
,,,,,Kit 2 Bojo,"15,00%","R$ 38,33","R$ 39,99","R$ 1,66","17,49%",SHEIN,"20,00%","R$ 6,00","R$ 17,00","R$ 6,99"
,,,,,Kit 5 Bojo,"15,00%","R$ 80,83","R$ 77,90","-R$ 2,93","12,74%",SHEIN,"20,00%","R$ 6,00","R$ 42,50","R$ 9,93"
,,,,,Alça Fina GG,"15,00%","R$ 22,50","R$ 21,90","-R$ 0,60","13,36%",SHEIN,"20,00%","R$ 6,00","R$ 7,50","R$ 2,93"
,,,,,Alça Fina PMG,"15,00%","R$ 20,83","R$ 19,90","-R$ 0,93","12,19%",SHEIN,"20,00%","R$ 6,00","R$ 6,50","R$ 2,43"
,,,,,Kit 3 alça Fina - GG,"15,00%","R$ 47,50","R$ 44,90","-R$ 2,60","11,53%",SHEIN,"20,00%","R$ 6,00","R$ 22,50","R$ 5,18"
,,,,,Kit 3 alça Fina - G,"15,00%","R$ 42,50","R$ 40,90","-R$ 1,60","12,65%",SHEIN,"20,00%","R$ 6,00","R$ 19,50","R$ 5,18"
,,,,,Kit 3 alça Fina - M,"15,00%","R$ 42,50","R$ 39,90","-R$ 2,60","11,09%",SHEIN,"20,00%","R$ 6,00","R$ 19,50","R$ 4,43"
,,,,,Kit 3 alça Fina - P,"15,00%","R$ 42,50","R$ 39,90","-R$ 2,60","11,09%",SHEIN,"20,00%","R$ 6,00","R$ 19,50","R$ 4,43"
,,,,,Kit 5 baby look,"15,00%","R$ 97,50","R$ 89,90","-R$ 7,60","9,93%",SHEIN,"20,00%","R$ 6,00","R$ 52,50","R$ 8,93"
,,,,,Kit 3 baby look,"15,00%","R$ 62,50","R$ 59,90","-R$ 2,60","12,40%",SHEIN,"20,00%","R$ 6,00","R$ 31,50","R$ 7,43"
,,,,,Kit 5 alça larga - GG,"15,00%","R$ 80,83","R$ 74,90","-R$ 5,93","10,25%",SHEIN,"20,00%","R$ 6,00","R$ 42,50","R$ 7,68"
,,,,,Kit 5 alça larga - PMG,"15,00%","R$ 72,50","R$ 67,90","-R$ 4,60","10,94%",SHEIN,"20,00%","R$ 6,00","R$ 37,50","R$ 7,43"
,,,,,Kit 2 short suplex,"15,00%","R$ 36,67","R$ 34,90","-R$ 1,77","11,96%",SHEIN,"20,00%","R$ 6,00","R$ 16,00","R$ 4,18"
,,,,,Kit 3 Alça Larga Plus,"15,00%","R$ 65,00","R$ 59,99","-R$ 5,01","9,99%",SHEIN,"20,00%","R$ 6,00","R$ 33,00","R$ 5,99"
,,,,,Kit 5 Alça Larga Plus,"15,00%","R$ 101,67","R$ 96,90","-R$ 4,77","12,05%",SHEIN,"20,00%","R$ 6,00","R$ 55,00","R$ 11,68"
,,,,,Kit 2 Calça Suplex,"15,00%","R$ 48,33","R$ 44,90","-R$ 3,43","10,41%",SHEIN,"20,00%","R$ 6,00","R$ 23,00","R$ 4,68"
,,,,,Calça Suplex Unitário,"15,00%","R$ 29,17","R$ 27,90","-R$ 1,27","12,28%",SHEIN,"20,00%","R$ 6,00","R$ 11,50","R$ 3,43"
,,,,,Kit 5 Alça Fina GG,"15,00%","R$ 72,50","R$ 67,90","-R$ 4,60","10,94%",SHEIN,"20,00%","R$ 6,00","R$ 37,50","R$ 7,43"
,,,,,Kit 5 Alça Fina PMG,"15,00%","R$ 64,17","R$ 59,90","-R$ 4,27","10,73%",SHEIN,"20,00%","R$ 6,00","R$ 32,50","R$ 6,43"